Image Name,Image Type,OCR Original,OCR After Otsu,Better Version,Main OCR Error,Next Processing Idea
blur_01.jpg,Blurred,a,"| fino Rei ig wctined R
SCHOON. TRANSCRIPT",,,
clear_01.jpg,Clear,"Choice A is incorrect because the plural verb “create” doesn't agree in number
with the singular subject “technique.” Choice Bis incorrect because the plural
verb “are creating"" doesn't agree in number with the singular subject “technique.”
Choice C is incorrect because the plural verb “have created” doesn't agree in
number with the singular subject “technique.”","Choice A is incorrect because the plural verb “create” doesn't agree in number
with the singular subject “technique.” Choice Bis incorrect because the plural
verb “are creating” doesn't agree in number with the singular subject “technique.”
Choice C is incorrect because the plural verb “have created” doesn't agree in
number with the singular subject “technique.”",,,
clear_02.jpg,Clear,XII ETUDES.,XII ETUDES.,,,
clear_03.jpg,Clear,"(f) Use the test statistic from part (d) and the graph of the sampling distribution to decide whether there is
convincing statistical evidence, at the level of a = 0.05, that the median of the distribution for all users of
keyboard J is less than the median of the distribution for all users of keyboard K. Support your answer.","() Use the test statistic from part (d) and the graph of the sampling distribution to decide whether there is
convincing statistical evidence, at the level of @ = 0.05, that the median of the distribution for all users of
keyboard J is less than the median of the distribution for al! users of keyboard K. Support your answer.",,,
dark_01.jpg,Dark,"‘engaged with the online mathematics and computer science community as a geometry
problem solver on AoPS forums. These atvtes demonstrate leadership, inative, and a
genie love fr artng and sharing knowledge","‘engaged with the online muthemnailex and vornpuier sciewe community as a geometry
problem salvar cn AGP forums These netnities densa Iendrsip, initials, und 9
rude eve fr letening ar sharing kro ede,",,,
noisybg_01.jpg,Noisy Background,"Magnus Vs. y
8 Chess.Com
Employees y","8
Magnus Vs.
8 Chess.Com
Employees ry",,,
noisybg_02.png,Noisy Background,"a Os
Looking for malware...
DE aud","—_
om
Ly
Looking for malware...
ree ee oa a",,,
tilted_01.jpg,Tilted,"3. River Run campground has sites for people to use for camping. The sites can be reserved for a certain number 0°
days. To help with cleaning and maintenance, the campground requests an exit time (the time at which campers
Jeave the site) of 9 A.M. on the last day of the reservation.

To estimate the typical exit time, the manager of River Run selected a random sample of 60 sites. Of the selected
sites, 40 were reserved by people without young children, and 20 were reserved by people with young children.
The following histograms summarize the exit times, recorded as minutes relative to 9 A.M. For example, an exit
time of 9:30 A.M. is 30 minutes relative to an exit time ‘of 9 A.M. Each interval contains possible values from the
Jeft endpoint up to but not including the right endpoint.","3. River Run campground has sites for people to use for camping. The sites can be reserved for a certain number o-
days. To help with cleaning and maintenance, the campground requests an exit time (the time at which campers
leave the site) of 9 A.M. on the last day of the reservation.

To estimate the typical exit time, the manager of River Run selected a random sample of 60 sites. Of the selected
sites, 40 were reserved by people without young children, and 20 were reserved by people with young children.
‘The following histograms summarize the exit times, recorded as minutes relative to 9 A.M. For example, an exit
time of 9:30 A.M. is 30 minutes relative to an exit time of 9 A.M. Each interval contains possible values from the
jeft endpoint up to but not including the right endpoint.",,,
tilted_02.jpg,Tilted,"More resources: t.me/apresources
STATISTICS
SECTION I
Part A
Questions 1-5
Spend about 1 hour and 5 minutes on this part of the exam.
Percent of Section II score—75
pirections: Show all your work. Indicate clearly the methods you use, because you will be scored on the
correctness of your methods as well as on the accuracy and completeness of your results and explanations.
[ 1. Thirty-four college students were asked how much money they spent on textbooks for the current semester.
‘Their responses are shown in the following stemplot.","More resources: t.me/apresources
STATISTICS
SECTION II
Part A
Questions 1-5
Spend about 1 hour and 5 minutes on this part of the exam.
Percent of Section II score—75
Directions: Show all your work, Indicate clearly the methods you use, because you will be scored on the
correctness of your methods as well as on the accuracy and completeness of your results and explanations.
1 1. Thirty-four college students were asked how much money they spent on textbooks for the current semester,
Their responses are shown in the following stemplot.",,,
tilted_03.jpg,Tilted,"STATISTICS
SECTION I
Part A
Questions 1-5
Spend about 1 hour and § minutes on this part of the exam.
Percent of Section II score—75

Directions: Show all your work. Indicate clearly the methods you use, because you will be scored on the
Pemeciness of Your methods as ‘well as on the accuracy and completeness of your results and explanations.

1. The students enrolled in honors biology at a high school were given the task of using @ spreadsheet program to
investigate a topic in genetics. All students ‘nthe class had similar background knowledge of the topic. ‘Some
agents in the class had no spreadsheet experience, Group R, and needed time to learn the program to complete
the task. The rest of the students, Group S, had previous spreadsheet experience and typically took less time to
tomplete the task. Each of the histograms below show the distribution of completion times, in minutes, for one
of the two groups.

Histogram | Histogram Il
es - 147 —","STATISTICS
SECTION IL
Part A
Questions 1-5
Spend about 1 hour and § minutes on this part of the exam
Percent of Section 11 score—75

Directions: Show all your work. Indicate clearly the methods you use, because you will be scored on the
Donwctness of your methods as ‘well 2s on the accuracy and completeness of your results and explanations.

1, The students enrolled in honors biology at a high school were given the task of using & spreadsheet program to
javesiigate a topic in genetics, Ali students vn tye class had similar background knowledge of the topic. ‘Some
uvgemts in the class bad no spreadsheet experiences Group R, and needed time to leam the program to complete:
the task. The rest cof the students, Group S. had previous spreadsheet experience and typically took less time t0
complete the task. Each of the histograms below show the distribution of completion times, in minutes, for one
of the two groups.

Histogram } Histogram 14
. = dot —",,,
